,ID,title,task,objective,projectObjective,domain,module,evaluation,description,objectiveDescription,formula,unit,id,domains,BENCHMARK_GROUP_ID,BENCHMARK_GROUP_NAME,BENCHMARK_GROUP_DESCRIPTION,BENCHMARK_ID,BENCHMARK_NAME,BENCHMARK_DESCRIPTION,BENCHMARK_FIELD_ID,BENCHMARK_FIELD_NAME,BENCHMARK_AGG,TEST_ID,TEST_NAME,TEST_DESCRIPTION,TEST_FIELD_ID,TEST_FIELD_NAME,TEST_AGG,SCENARIO_ID,SCENARIO_NAME,SCENARIO_DESCRIPTION,SCENARIO_FIELD_ID,SCENARIO_FIELD_NAME
0,KPI-AS-001,Ability to anticipate,Task 4.3,Human user experience,O3,Railway,['(non applicable)'],special evaluation setup,"“The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ","This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",As operationalized by the questionnaire (normally Likert-scales with several items that are rated on a scale of e.g. 1-5) ,Lickert-Scale or similar ,1,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,f0e50d4a-905b-4749-a875-bed72d49a5d7,Human user experience,"This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",d927554a-1ac3-4a25-9b12-28d5530847be,Benchmark score (SUM of test scores),SUM,KPI-AS-001,KPI-AS-001: Ability to anticipate (Railway),"“The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ",2e30dc5b-d7d0-437b-aef3-2bd78939d712,Test score (SUM of scenario scores),SUM,e969a487-4ed8-4fc8-a417-cd4eee4a4d70,"Scenario 1 - “The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ","This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",db639315-cb3e-427a-93d5-100aac247739,Scenario score (raw values)
1,KPI-AS-001,Ability to anticipate,Task 4.3,Human user experience,O3,Power Grid,['(non applicable)'],special evaluation setup,"“The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ","This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",As operationalized by the questionnaire (normally Likert-scales with several items that are rated on a scale of e.g. 1-5) ,Lickert-Scale or similar ,1,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,f0e50d4a-905b-4749-a875-bed72d49a5d7,Human user experience,"This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",d927554a-1ac3-4a25-9b12-28d5530847be,Benchmark score (SUM of test scores),SUM,KPI-AS-001,KPI-AS-001: Ability to anticipate (Power Grid),"“The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ",2e30dc5b-d7d0-437b-aef3-2bd78939d712,Test score (SUM of scenario scores),SUM,190d03e9-e1db-4e65-bb9f-d171a7ce6937,"Scenario 1 - “The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ","This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",b7278b09-5412-4c81-aa0f-bec960f5b2fd,Scenario score (raw values)
2,KPI-AS-001,Ability to anticipate,Task 4.3,Human user experience,O3,ATM,['(non applicable)'],special evaluation setup,"“The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ","This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",As operationalized by the questionnaire (normally Likert-scales with several items that are rated on a scale of e.g. 1-5) ,Lickert-Scale or similar ,1,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,f0e50d4a-905b-4749-a875-bed72d49a5d7,Human user experience,"This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",d927554a-1ac3-4a25-9b12-28d5530847be,Benchmark score (SUM of test scores),SUM,KPI-AS-001,KPI-AS-001: Ability to anticipate (ATM),"“The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ",2e30dc5b-d7d0-437b-aef3-2bd78939d712,Test score (SUM of scenario scores),SUM,2f0e93d0-4a97-4194-b183-172ddb0cb5c0,"Scenario 1 - “The ability to anticipate. Knowing what to expect or being able to anticipate developments further into the future, such as potential disruptions, novel demands or constraints, new opportunities, or changing operating conditions” (Hollnagel, 2015, p. 4). 
The human operator’s ability to anticipate further into the future can be measured by calculating the ratio of (proactively) prevented deviations to actual deviations. In addition, the extent to which the anticipatory sensemaking process of the human operator is supported by AI-based assistants can be measured using the Rigor-Metric for Sensemaking (Zelik et al., 2018) or similar. The instrument needs to be further developed and adapted to the AI context. ","This KPI contributes to evaluating Human user experience of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective. ",39553d06-7771-4d33-92ff-442c93648106,Scenario score (raw values)
3,KPI-AS-002,Acceptance,Task 4.3,"AI acceptability, trust and trustworthiness",O2,Railway,['(non applicable)'],special evaluation setup,Acceptance of the system by a human user.,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ","Using a TAM model (technology acceptance model) or similar eg. the AI-Acceptance model (KIAM) (Scheuer, 2020) ",As operationalized by the questionnaire (normally Likert-scales with several items that are rated on a scale of e.g. 1-5) ,2,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3767d0c2-279b-4c59-92d9-5734312b22fb,"AI acceptability, trust and trustworthiness","This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ",f16b1221-ed01-4e64-8d5c-7d673fc20829,Benchmark score (SUM of test scores),SUM,KPI-AS-002,KPI-AS-002: Acceptance (Railway),Acceptance of the system by a human user.,aadc70e2-c3d5-4cdc-9b7d-0377e5978218,Test score (SUM of scenario scores),SUM,ca11cae8-58de-4240-b31f-a3acfa75a9af,Scenario 1 - Acceptance of the system by a human user.,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ",954f1f78-dd4d-4f84-9989-22272b6735f9,Scenario score (raw values)
4,KPI-AS-002,Acceptance,Task 4.3,"AI acceptability, trust and trustworthiness",O2,Power Grid,['(non applicable)'],special evaluation setup,Acceptance of the system by a human user.,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ","Using a TAM model (technology acceptance model) or similar eg. the AI-Acceptance model (KIAM) (Scheuer, 2020) ",As operationalized by the questionnaire (normally Likert-scales with several items that are rated on a scale of e.g. 1-5) ,2,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3767d0c2-279b-4c59-92d9-5734312b22fb,"AI acceptability, trust and trustworthiness","This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ",f16b1221-ed01-4e64-8d5c-7d673fc20829,Benchmark score (SUM of test scores),SUM,KPI-AS-002,KPI-AS-002: Acceptance (Power Grid),Acceptance of the system by a human user.,aadc70e2-c3d5-4cdc-9b7d-0377e5978218,Test score (SUM of scenario scores),SUM,277db4a0-640b-4752-8272-c09f4f25eb68,Scenario 1 - Acceptance of the system by a human user.,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ",a9298319-e48e-42ec-9497-9e48f83645b5,Scenario score (raw values)
5,KPI-AS-002,Acceptance,Task 4.3,"AI acceptability, trust and trustworthiness",O2,ATM,['(non applicable)'],special evaluation setup,Acceptance of the system by a human user.,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ","Using a TAM model (technology acceptance model) or similar eg. the AI-Acceptance model (KIAM) (Scheuer, 2020) ",As operationalized by the questionnaire (normally Likert-scales with several items that are rated on a scale of e.g. 1-5) ,2,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3767d0c2-279b-4c59-92d9-5734312b22fb,"AI acceptability, trust and trustworthiness","This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ",f16b1221-ed01-4e64-8d5c-7d673fc20829,Benchmark score (SUM of test scores),SUM,KPI-AS-002,KPI-AS-002: Acceptance (ATM),Acceptance of the system by a human user.,aadc70e2-c3d5-4cdc-9b7d-0377e5978218,Test score (SUM of scenario scores),SUM,6edd680a-81fa-45ed-bbab-4bd492303467,Scenario 1 - Acceptance of the system by a human user.,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. ",a45338a1-b525-4324-a074-ca76c4dd3aae,Scenario score (raw values)
6,KPI-HS-003,Human intervention frequency,Task 4.3,Social-technical decision quality,O3,Railway,['Recommendation module'],semi-automated evaluation,"The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ","This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",(Number of human interventions / Total AI decision instances) x 100,Percentage (%) of AI decisions requiring human intervention. ,3,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3b1aff0c-5c94-445c-a106-c94ab1f780ca,Social-technical decision quality,"This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",bbacedca-d4da-4c9b-afba-590bc1d9919e,Benchmark score (SUM of test scores),SUM,KPI-HS-003,KPI-HS-003: Human intervention frequency (Railway),"The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ",76092ae5-1e53-4fe9-b071-9810f3e97c94,Test score (SUM of scenario scores),SUM,66addcbf-dddf-475d-b8c3-ff6111707229,"Scenario 1 - The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ","This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",e36ad968-3de6-40ee-81e8-500eeace4f4a,Scenario score (raw values)
7,KPI-HS-003,Human intervention frequency,Task 4.3,Social-technical decision quality,O3,Power Grid,['Recommendation module'],semi-automated evaluation,"The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ","This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",(Number of human interventions / Total AI decision instances) x 100,Percentage (%) of AI decisions requiring human intervention. ,3,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3b1aff0c-5c94-445c-a106-c94ab1f780ca,Social-technical decision quality,"This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",bbacedca-d4da-4c9b-afba-590bc1d9919e,Benchmark score (SUM of test scores),SUM,KPI-HS-003,KPI-HS-003: Human intervention frequency (Power Grid),"The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ",76092ae5-1e53-4fe9-b071-9810f3e97c94,Test score (SUM of scenario scores),SUM,e43ad806-85da-4271-9d61-1d7567124d13,"Scenario 1 - The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ","This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",72e114c8-f18c-46ab-bfea-f472e3179bf6,Scenario score (raw values)
8,KPI-HS-003,Human intervention frequency,Task 4.3,Social-technical decision quality,O3,ATM,['Recommendation module'],semi-automated evaluation,"The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ","This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",(Number of human interventions / Total AI decision instances) x 100,Percentage (%) of AI decisions requiring human intervention. ,3,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3b1aff0c-5c94-445c-a106-c94ab1f780ca,Social-technical decision quality,"This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",bbacedca-d4da-4c9b-afba-590bc1d9919e,Benchmark score (SUM of test scores),SUM,KPI-HS-003,KPI-HS-003: Human intervention frequency (ATM),"The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ",76092ae5-1e53-4fe9-b071-9810f3e97c94,Test score (SUM of scenario scores),SUM,4648d31a-ffd9-4b0e-91e9-8fa7d12cee40,"Scenario 1 - The Human Intervention Frequency KPI measures the proportion of instances in which a human operator intervenes in an automated decision-making process. While this KPI was initially developed for railway traffic control scenarios, it has been generalized to assess the reliability and autonomy of any AI-assisted system. It reflects the trust placed in the AI by quantifying how often human corrections are required during routine operations. ","This KPI contributes to evaluating Social-technical decision quality of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O3 main project objective: 
- To evaluate the effectiveness of the AI system in operating autonomously. 
- To provide a performance benchmark for minimizing human interventions across various domains. 
- To identify areas where the AI may require additional refinement or support. ",23f381a2-e850-4f5f-819e-cb739e145d30,Scenario score (raw values)
9,KPI-AS-005,Agreement score,Task 4.3,"AI acceptability, trust and trustworthiness",O2,Railway,['(non applicable)'],special evaluation setup,This KPI represents human operators’ self-reported agreement with individual AI-generated solutions/decisions on a scale of 0–100. ,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. 
It is also relevant to protocols and concepts defined in D1.1 such as “Agreement score”.  ",Self-reported agreement with specific solutions on a scale of 0–100. ,Interval scale response ,4,"['Railway', 'Power Grid', 'ATM']",0ca46887-897a-463f-bf83-c6cd6269a976,Beta Validation Campaign,The beta validation campaign runs until 30.11.2025,3767d0c2-279b-4c59-92d9-5734312b22fb,"AI acceptability, trust and trustworthiness","This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. 
It is also relevant to protocols and concepts defined in D1.1 such as “Agreement score”.  ",f16b1221-ed01-4e64-8d5c-7d673fc20829,Benchmark score (SUM of test scores),SUM,KPI-AS-005,KPI-AS-005: Agreement score (Railway),This KPI represents human operators’ self-reported agreement with individual AI-generated solutions/decisions on a scale of 0–100. ,5812a1c2-c00b-4958-ae37-5d4f541b8131,Test score (SUM of scenario scores),SUM,feb9b668-32ed-420d-aafa-4af4b5641596,Scenario 1 - This KPI represents human operators’ self-reported agreement with individual AI-generated solutions/decisions on a scale of 0–100. ,"This KPI contributes to evaluating AI acceptability, trust and trustworthiness of the AI-based assistant, as part of Task 4.3 evaluation objectives, and O2 main project objective. 
It is also relevant to protocols and concepts defined in D1.1 such as “Agreement score”.  ",c05f8d61-fd3b-4ffe-b2a2-308696e2e099,Scenario score (raw values)
